source,frame,mode,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,latent_mse,normalized_latent_mse
depablo_low_temp,10,constant_acceleration,20,20,20,0.880821318969034,0.09080888570228414,0.08909196724582674,1.8956311453877106e-07,0.00071297159884125,6.852176920801867e-05,5.090643562084551e-05,2.4890663472376672e-05
depablo_low_temp,10,constant_latent,20,20,20,0.6119240009259526,0.16783965541295062,0.08909196724582674,1.3801323834883305e-07,0.00046287616714835167,0.0002498305693734437,0.03222019588574767,0.01413535764440894
depablo_low_temp,10,constant_velocity,20,20,20,0.8450458266807723,0.1019842366412691,0.08909196724582674,1.8931048639814207e-07,0.0007152630074415356,8.658438964630477e-05,0.00040502993242625963,0.0002000865484546921
depablo_low_temp,10,constant_velocity_recent,20,20,20,0.8702191867163824,0.09548408587950138,0.08909196724582674,1.8863987563122465e-07,0.000711120298365131,7.420898364216555e-05,3.725650478827447e-05,1.7586391771828856e-05
depablo_low_temp,10,free_rollout,20,20,20,0.8702661313318383,0.09545097717462289,0.08909196724582674,1.899628978563328e-07,0.0007161714835092426,7.367210600932595e-05,2.8515100279058458e-05,1.3795974614350115e-05
depablo_low_temp,10,oracle_ae,20,20,20,0.8759258319693426,0.09387979688734108,0.08909196724582674,1.8962146874912378e-07,0.0007136222091503441,7.262182989506983e-05,0.0,0.0
depablo_low_temp,10,teacher_forced,20,20,20,0.8756888512258542,0.09398840040209401,0.08909196724582674,1.8965062320575043e-07,0.0007138149405363948,7.267339933605398e-05,4.8035036570581727e-08,2.243200871998585e-08
depablo_low_temp,25,constant_acceleration,20,20,20,0.8478428148910682,0.09495739281900649,0.1113451632350467,3.4066902898644e-07,0.0008268774021416902,0.0002071149785479065,0.017254170823071034,0.008481739112721699
depablo_low_temp,25,constant_latent,20,20,20,0.529797462608565,0.20148859410753323,0.1113451632350467,1.2473635990772891e-06,0.0020465588138904424,0.0010189300155616365,0.5382429674267769,0.2347462557256222
depablo_low_temp,25,constant_velocity,20,20,20,0.9561606669048582,0.06263635394285387,0.1113451632350467,3.3375366434995615e-07,0.0007872359943576157,0.00023368880210909991,0.00970791807048954,0.0046052793899434615
